GENERIC NAME,BRAND NAME
BACLOFEN 0.05 MG/ML INTRATHECAL 1 ML AMP,LIORESAL INTRATHECAL
BACLOFEN 0.5 MG/ML INTRATHECAL 20 ML VIAL,LIORESAL INTRATHECAL
BACLOFEN 10 MG TAB,LIORESAL
BACLOFEN 2 MG/ML INTRATHECAL 5 ML VIAL,LIORESAL INTRATHECAL
BACLOFEN 20 MG TAB,LIORESAL
BACLOFEN POWDER 5 GM BTL,
BCG VACCINE 120 MG AMP,PACIS
BCG VACCINE 50 MG VIAL,ONCOTICE
BCG VACCINE 50 MG VIAL CHEMO IRR.,ONCOTICE
BCG VACCINE INJ 81 MG VIAL,IMMUCYST
BECLOMETHASONE AQ 50 MCG/SPRAY 200 DOSE BTL,BECONASE
BELLADONNA 15 MG+OPIUM 65 MG SUPP,OPIUM & BELLADONNA
BENDAMUSTINE INJ 100 MG/20 ML VIAL,TREANDA
BENDAMUSTINE INJ 25 MG/5 ML VIAL,TREANDA
BENZOCAINE 10% ORAL GEL 5.3 GM TUBE,ORAJEL REG STR
BENZOCAINE 10% ORAL GEL 7 GM TUBE,ANBESOL GEL
BENZOCAINE 20% AERO 60 ML CAN,HURRICAINE
BENZOCAINE 20% AERO 60 ML KIT,HURRICAINE
BENZOCAINE 20% ORAL GEL 9.5 GM TUBE,ORAJEL
BENZOCAINE 20% TOPICAL GEL 28.4 GM TUBE,HURRICAINE
BENZOYL PEROXIDE 10% GEL 60 GM TUBE,BENZAGEL 10
BENZOYL PEROXIDE 10% WASH GEL 225 GM BTL,BENZAC W 10
BENZOYL PEROXIDE 20% GEL 60 GM TUBE,PANOXYL
BENZOYL PEROXIDE 5% GEL 60 GM TUBE,BENZAGEL 5
BENZOYL PEROXIDE 5% WASH GEL 225 GM TUBE,BENZAC W 5
BENZTROPINE 1 MG TAB,COGENTIN
BENZTROPINE 2 MG TAB,COGENTIN
BENZTROPINE INJ 1 MG/ML 2 ML AMP,COGENTIN
BENZYDAMINE 0.15% ORAL RINSE 100 ML BTL,TANTUM
BENZYDAMINE 0.15% ORAL RINSE 250 ML BTL,TANTUM
BENZYLPENICILLOYL POLYLYSINE INJ 0.25 ML AMP,Pre-pen
BETAHISTINE 16 MG TAB,SERC
BETAHISTINE 24 MG TAB,SERC
BETAMETHASONE 0.1% CRM 15 GM TUBE,BETADERM
BETAMETHASONE 0.1% CRM 30 GM TUBE,PREVEX B
BETAMETHASONE 0.1% CRM BULK JAR,BETNOVATE
BETAMETHASONE 0.1% LOTION 60 ML BTL,ECTOSONE
BETAMETHASONE 0.1% LOTN 30 ML BTL,ECTOSONE
BETAMETHASONE 0.1% OINT 15 GM TUBE,BETADERM
BETAMETHASONE 0.1% OINT 454 GM JAR,BETADERM
BETAMETHASONE 0.1% SCALP LOTN 30 ML BTL,ECTOSONE
BETAMETHASONE 0.1% SCALP LOTN 75 ML BTL,ECTOSONE
BETAMETHASONE ENEMA 0.05 MG/ML 100 ML BTL,BETNESOL
BETAMETHASONE INJ 6 MG/ML 1 ML VIAL,CELESTONE
BETAMETHASONE INJ 6 MG/ML 5 ML VIAL,BETAJECT
BETAMETHASONE POWDER,BETAMETHASONE
BETAXOLOL 0.25% EYE DROPS 5 ML BTL,BETOPTIC-S
BETHANECHOL 10 MG TAB,URECHOLINE
BETHANECHOL 25 MG TAB,URECHOLINE
BETHANECHOL 50 MG TAB,DUVOID
BEVACIZUMAB INJ 25 MG/ML 16 ML VIAL,AVASTIN
BEVACIZUMAB INJ 25 MG/ML 4 ML VIAL,AVASTIN
BICALUTAMIDE 50 MG TAB,SANDOZ BICALUTAMIDE
BICALUTAMIDE 50 MG TAB,CASODEX
BISACODYL 10 MG SUPP,DULCOLAX SUPP
BISACODYL 5 MG SUPP,DULCOLAX SUPP
BISACODYL EC 5 MG TAB,DULCOLAX
BISMUTH SUBGALLATE 200 MG CHEW TAB,DEVROM
BISMUTH SUBGALLATE POWDER  100 GM BTL,
BISMUTH SUBNITRATE POWDER 100 GM BTL,
